j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
sud,muški,suda,sudu,sud,sude,sudu,sudom,sudovi,sudova,sudovima,sudove,sudovi,sudovima,sudovima
strogost,ženski,strogosti,strogosti,strogost,strogosti,strogosti,strogošću,strogosti,strogosti,strogostima,strogosti,strogosti,strogostima,strogostima
sport,muški,sporta,sportu,sport,sporte,sportu,sportom,sportovi,sportova,sportovima,sportove,sportovi,sportovima,sportovima
sugovornik,muški,sugovornika,sugovorniku,sugovornika,sugovorniče,sugovorniku,sugovornikom,sugovornici,sugovornika,sugovornicima,sugovornike,sugovornici,sugovornicima,sugovornicima
strana,ženski,strane,strani,stranu,strano,strani,stranom,strane,strana,stranama,strane,strane,stranama,stranama
studen,ženski,studeni,studeni,studen,studeni,studeni,studeni,studeni,studeni,studenima,studeni,studeni,studenima,studenima
stratigrafija,ženski,stratigrafije,stratigrafiji,stratigrafiju,stratigrafijo,stratigrafiji,stratigrafijom,stratigrafije,stratigrafija,stratigrafijama,stratigrafije,stratigrafije,stratigrafijama,stratigrafijama
strina,ženski,strine,strini,strinu,strino,strini,strinom,strine,strina,strinama,strine,strine,strinama,strinama
struktura,ženski,strukture,strukturi,strukturu,strukturo,strukturi,strukturom,strukture,struktura,strukturama,strukture,strukture,strukturama,strukturama
suglasje,srednji,suglasja,suglasju,suglasje,suglasje,suglasju,suglasjem,suglasja,suglasja,suglasjima,suglasja,suglasja,suglasjima,suglasjima
stric,muški,strica,stricu,strica,striče,stricu,stricem,stričevi,stričeva,stričevima,stričeve,stričevi,stričevima,stričevima
suma,ženski,sume,sumi,sumu,sumo,sumi,sumom,sume,suma,sumama,sume,sume,sumama,sumama
stranica,ženski,stranice,stranici,stranicu,stranico,stranici,stranicom,stranice,stranica,stranicama,stranice,stranice,stranicama,stranicama
stvarnost,ženski,stvarnosti,stvarnosti,stvarnost,stvarnosti,stvarnosti,stvarnošću,stvarnosti,stvarnosti,stvarnostima,stvarnosti,stvarnosti,stvarnostima,stvarnostima
tajna,ženski,tajne,tajni,tajnu,tajno,tajni,tajnom,tajne,tajna,tajnama,tajne,tajne,tajnama,tajnama
suparnik,muški,suparnika,suparniku,suparnika,suparniče,suparniku,suparnikom,suparnici,suparnika,suparnicima,suparnike,suparnici,suparnicima,suparnicima
