j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
izlaz,muški,izlaza,izlazu,izlaz,izlaze,izlazu,izlazom,izlazi,izlaza,izlazima,izlaze,izlazi,izlazima,izlazima
iznos,muški,iznosa,iznosu,iznos,iznose,iznosu,iznosom,iznosi,iznosa,iznosima,iznose,iznosi,iznosima,iznosima
izraz,muški,izraza,izrazu,izraz,izrazu,izrazu,izrazom,izrazi,izraza,izrazima,izraze,izrazi,izrazima,izrazima
ironija,ženski,ironije,ironiji,ironiju,ironijo,ironiji,ironijom,ironije,ironija,ironijama,ironije,ironije,ironijama,ironijama
istina,ženski,istine,istini,istinu,istino,istini,istinom,istine,istina,istinama,istine,istine,istinama,istinama
izjava,ženski,izjave,izjavi,izjavu,izjavo,izjavi,izjavom,izjave,izjava,izjavama,izjave,izjave,izjavama,izjavama
izmjena,ženski,izmjene,izmjeni,izmjenu,izmjeno,izmjeni,izmjenom,izmjene,izmjena,izmjenama,izmjene,izmjene,izmjenama,izmjenama
jabuka,ženski,jabuke,jabuci,jabuku,jabuko,jabuci,jabukom,jabuke,jabuka,jabukama,jabuke,jabuke,jabukama,jabukama
jadeit,muški,jadeita,jadeitu,jadeit,jadeite,jadeitu,jadeitom,jadeiti,jadeita,jadeitima,jadeite,jadeiti,jadeitima,jadeitima
izvještaj,muški,izvještaja,izvještaju,izvještaj,izvještaju,izvještaju,izvještajem,izvještaji,izvještaja,izvještajima,izvještaje,izvještaji,izvještajima,izvještajima
jezgra,ženski,jezgre,jezgri,jezgru,jezgro,jezgri,jezgrom,jezgre,jezgara,jezgrama,jezgre,jezgre,jezgrama,jezgrama
jaz,muški,jaza,jazu,jaz,jazu,jazu,jazom,jazovi,jazova,jazovima,jazove,jazovi,jazovima,jazovima
juha,ženski,juhe,juhi,juhu,juho,juhi,juhom,juhe,juha,juhama,juhe,juhe,juhama,juhama
javnost,ženski,javnosti,javnosti,javnost,javnosti,javnosti,javnošću,javnosti,javnosti,javnostima,javnosti,javnosti,javnostima,javnostima
jegulja,ženski,jegulje,jegulji,jegulju,jeguljo,jegulji,jeguljom,jegulje,jegulja,jeguljama,jegulje,jegulje,jeguljama,jeguljama
jetra,ženski,jetre,jetri,jetru,jetro,jetri,jetrom,jetre,jetri,jetrama,jetre,jetre,jetrama,jetrama
ispad,muški,ispada,ispadu,ispad,ispade,ispadu,ispadom,ispadi,ispada,ispadima,ispade,ispadi,ispadima,ispadima
izmaglica,ženski,izmaglicu,izmaglice,izmaglici,izmaglici,izmaglicom,izmaglice,izmaglice,izmaglice,izmaglica,izmaglicama,izmaglicama,izmaglicama,izmaglice
jastuk,muški,jastuka,jastuku,jastuk,jastuče,jastuku,jastukom,jastuci,jastuka,jastucima,jastuke,jastuci,jastucima,jastucima
jačina,ženski,jačine,jačini,jačinu,jačino,jačini,jačinom,jačine,jačina,jačinama,jačine,jačine,jačinama,jačinama
jedinica,ženski,jedinice,jedinici,jedinicu,jedinice,jedinici,jedinicom,jedinice,jedinica,jedinicama,jedinice,jedinice,jedinicama,jedinicama
jesen,ženski,jeseni,jeseni,jesen,jeseni,jeseni,jesenju,jeseni,jeseni,jesenima,jeseni,jeseni,jesenima,jesenima
jezik,muški,jezika,jeziku,jezik,jeziče,jeziku,jezikom,jezici,jezici,jezicima,jezike,jezici,jezicima,jezicima
jelo,srednji,jela,jelu,jelo,jelo,jelu,jelom,jela,jela,jelima,jela,jela,jelima,jelima
jarac,muški,jarca,jarcu,jarca,jarče,jarcu,jarcem,jarčevi,jarčeva,jarčevima,jarčeve,jarci/jarčevi,jarčevima,jarčevima
junior,muški,juniora,junioru,juniora,juniore,junioru,juniorom,juniori,juniora,juniorima,juniore,juniori,juniorima,juniorima
jorgan,muški,jorgana,jorganu,jorgan,jorgane,jorganu,jorganom,jorgani,jorgana,jorganima,jorgane,jorgani,jorganima,jorganima
ječam,ženski,ječma,ječmu,ječam,ječme,ječmu,ječmom,ječmovi,ječmova,ječmovima,ječmove,ječmovi,ječmovima,ječmovima
kamen,muški,kamena,kamenu,kamena,kamene,kamenu,kamenom,kamenovi,kamena,kamenima,kamene,kameni,kamenima,kamenima
kabaret,muški,kabareta,kabaretu,kabaret,kabarete,kabaretu,kabaretom,kabareti,kabareta,kabaretima,kabarete,kabareti,kabaretima,kabaretima
kafić,muški,kafića,kafiću,kafić,kafiću,kafiću,kafićem,kafići,kafića,kafićima,kafiće,kafići,kafićima,kafićima
kamion,muški,kamiona,kamionu,kamion,kamione,kamionu,kamionom,kamioni,kamiona,kamionima,kamione,kamioni,kamionima,kamionima
kapa,ženski,kape,kapi,kapu,kapo,kapi,kapom,kape,kapa,kapama,kape,kape,kapama,kapama
karantena,ženski,karantene,karanteni,karantenu,karanteno,karanteni,karantenom,karantene,karantena,karantenama,karantene,karantene,karantenama,karantenama
karota,ženski,karote,karoti,karotu,karoto,karoti,karotom,karote,karota,karotama,karote,karote,karotama,karotama
kamenica,ženski,kamenice,kamenici,kamenicu,kamenico,kamenici,kamenicom,kamenice,kamenica,kamenicama,kamenice,kamenice,kamenicama,kamenicama
kanotjera,ženski,kanotjere,kanotjeri,kanotjeru,kanotjero,kanotjeri,kanotjerom,kanotjere,kanotjera,kanotjerama,kanotjere,kanotjere,kanotjerama,kanotjerama
kantrida,ženski,kantride,kantride,kantridu,kantrido,kantride,kantridon,kantride,kantridah,kantridan,kantride,kantride,kantridan,kantridan
kapija,ženski,kapije,kapiji,kapiju,kapijo,kapiji,kapijom,kapije,kapija,kapijama,kapije,kapije,kapijama,kapijama
karijola,ženski,karijole,karijoli,karijolu,karijolo,karijoli,karijolom,karijole,karijola,karijolama,karijole,karijole,karijolama,karijolama
karoca,ženski,karoce,karoci,karocu,karoco,karoci,karocom,karoce,karoca,karocama,karoce,karoce,karocama,karocama
kartica,ženski,kartice,kartici,karticu,kartico,kartici,karticom,kartice,kartica,karticama,kartica,kartice,karticama,karticama
kasa,ženski,kase,kasi,kasu,kaso,kasi,kasom,kase,kasa,kasama,kase,kase,kasama,kasama
kalcit,muški,kalcita,kalcitu,kalcit,kalcite,kalcitu,kalcitom,kalciti,kalcita,kalcitima,kalcite,kalciti,kalcitima,kalcitima
kapitalizam,muški,kapitalizma,kapitalizmu,kapitalizam,kapitalizme,kapitalizmu,kapitalizmom,kapitalizmi,kapitalizama,kapitalizmima,kapitalizme,kapitalizmi,kapitalizmima,kapitalizmima
kamenar,muški,kamenara,kamenaru,kamenara,kamenaru,kamenaru,kamenarom,kamenari,kamenara,kamenarima,kamenare,kamenari,kamenarima,kamenarima
karabin,muški,karabina,karabinu,karabin,karabine,karabinu,karabinom,karabini,karabina,karabinima,karabine,karabini,karabinima,karabinima
karakter,muški,karaktera,karakteru,karakter,karakteru,karakteru,karakterom,karakteri,karaktera,karakterima,karaktere,karakteri,karakterima,karakterima
kalendar,muški,kalendara,kalendaru,kalendar,kalendare,kalendaru,kalendarom,kalendari,kalendara,kalendarima,kalendare,kalendari,kalendarima,kalendarima
kalibar,muški,kalibra,kalibru,kalibar,kalibre,kalibru,kalibrom,kalibri,kalibara,kalibrima,kalibre,kalibri,kalibrima,kalibrima
kalkfels,muški,kalkfelsa,kalkfelsu,kalkfels,kalkfelse,kalkfelsu,kalkfelsom,kalkfelsi,kalkfelsa,kalkfelsima,kalkfelse,kalkfelsi,kalkfelsima,kalkfelsima
karakteristika,ženski,karakteristike,karakteristici,karakteristiku,karakteristiko,karakteristici,karakteristikom,karakteristike,karakteristika,karakteristikama,karakteristike,karakteristike,karakteristikama,karakteristikama
katedra,ženski,katedre,katedri,katedru,katedro,katedri,katedrom,katedre,katedri,katedrama,katedre,katedre,katedrama,katedrama
kazna,ženski,kazne,kazni,kaznu,kazno,kazni,kaznom,kazne,kazni,kaznama,kazne,kazne,kaznama,kaznama
kava,ženski,kave,kavi,kavu,kavo,kavi,kavom,kave,kava,kavama,kave,kave,kavama,kavama
knjigovodstvo,srednji,knjigovodstva,knjigovodstvu,knjigovodstvo,knjigovodstvo,knjigovodstvu,knjigovodstvom,knjigovodstva,knjigovodstava,knjigovodstvima,knjigovodstva,knjigovodstva,knjigovodstvima,knjigovodstvima
lak,muški,laka,laku,lak,laku,laku,lakom,lakovi,lakova,lakovima,lakove,lakovi,lakovima,lakovima
kazalište,srednji,kazališta,kazalištu,kazalište,kazalište,kazalištu,kazalištem,kazališta,kazališta,kazalištima,kazališta,kazališta,kazalištima,kazalištima
klonulost,ženski,klonulosti,klonulosti,klonulost,klonulosti,klonulosti,klonulošću,klonulosti,klonulosti,klonulostima,klonulosti,klonulosti,klonulostima,klonulostima
kemija,ženski,kemije,kemiji,kemiju,kemijo,kemiji,kemijom,kemije,kemija,kemijama,kemije,kemije,kemijama,kemijama
kijača,ženski,kijače,kijači,kijaču,kijačo,kijači,kijačom,kijače,kijača,kijačama,kijače,kijače,kijačama,kijačama
kivi,muški,kivija,kiviju,kivi,kivi,kiviju,kivijem,kiviji,kivija,kivijima,kivije,kiviji,kivijima,kivijima
kiša,ženski,kiše,kiši,kišu,kišo,kiši,kišom,kiše,kiša,kišama,kiše,kiše,kišama,kišama
ključ,muški,ključa,ključu,ključ,ključu,ključu,ključem,ključevi,ključeva,ključevima,ključeve,ključevi,ključevima,ključevima
klub,muški,kluba,klubu,klub,klube,klubu,klubom,klubovi,klubova,klubovima,klubove,klubovi,klubovima,klubovima
knjiga,ženski,knjige,knjizi,knjigu,knjigo,knjizi,knjigom,knjige,knjiga,knjigama,knjige,knjige,knjigama,knjigama
katapult,muški,katapulta,katapultu,katapult,katapulte,katapultu,katapultom,katapulti,katapulta,katapultima,katapulte,katapulti,katapultima,katapultima
kilogram,muški,kilograma,kilogramu,kilogram,kilograme,kilogramu,kilogramom,kilogrami,kilograma,kilogramima,kilograme,kilogrami,kilogramima,kilogramima
kit,muški,kita,kitu,kita,kite,kitu,kitom,kitovi,kitova,kitovima,kitova,kitovi,kitovima,kitovima
klaun,muški,klauna,klaunu,klauna,klaune,klaunu,klaunom,klaunovi,klaunova,klaunovima,klaunove,klaunovi,klaunovima,klaunovima
klerik,muški,klerika,kleriku,klerika,kleriče,kleriku,klerikom,klerici,klerika,klericima,klerike,klerici,klericima,klericima
klor,muški,klora,kloru,klor,klore,kloru,klorom,klorovi,klorova,klorovima,klorove,klorovi,klorovima,klorovima
kategorija,ženski,kategorije,kategoriji,kategoriju,kategorijo,kategoriji,kategorijom,kategorije,kategorija,kategorijama,kategorije,kategorije,kategorijama,kategorijama
kašika,ženski,kašike,kašici,kašiku,kašiko,kašici,kašikom,kašike,kašika,kašikama,kašike,kašike,kašikama,kašikama
kirurgija,ženski,kirurgije,kirurgiji,kirurgiju,kirurgijo,kirurgiji,kirurgijom,kirurgije,kirurgija,kirurgijama,kirurgije,kirurgije,kirurgijama,kirurgijama
klinoferosilit,muški,klinoferosilita,klinoferosilitu,klinoferosilit,klinoferosilite,klinoferosilitu,klinoferosilitom,klinoferosiliti,klinoferosilita,klinoferosilitima,klinoferosilite,klinoferosiliti,klinoferosilitima,klinoferosilitima
klinopiroksenit,muški,klinopiroksenita,klinopiroksenitu,klinopiroksenit,klinopiroksenite,klinopiroksenitu,klinopiroksenitom,klinopirokseniti,klinopiroksenita,klinopiroksenitima,klinopiroksenite,klinopirokseniti,klinopiroksenitima,klinopiroksenitima
klorit,muški,klorita,kloritu,klorit,klorite,kloritu,kloritom,kloriti,klorita,kloritima,klorite,kloriti,kloritima,kloritima
kila,ženski,kile,kili,kilu,kilo,kili,kilom,kile,kila,kilama,kile,kile,kilama,kilama
klinopiroksen,muški,klinopiroksena,klinopiroksenu,klinopiroksen,klinopiroksene,klinopiroksenu,klinopiroksenom,klinopirokseni,klinopiroksena,klinopiroksenima,klinopiroksene,klinopirokseni,klinopiroksenima,klinopiroksenima
klementina,ženski,klementine,klementini,klementinu,klementino,klementini,klementinom,klementine,klementina,klementinama,klementine,klementine,klementinama,klementinama
klima,ženski,klime,klimi,klimu,klimo,klimi,klimom,klime,klima,klimama,klime,klime,klimama,klimama
kokos,muški,kokosa,kokosu,kokos,kokose,kokosu,kokosom,kokosi,kokosa,kokosima,kokose,kokosi,kokosima,kokosima
kolač,muški,kolača,kolaču,kolača,kolaču,kolaču,kolačem,kolači,kolača,kolačima,kolača,kolači,kolačima,kolačima
kobalt,muški,kobalta,kobaltu,kobalt,kobalte,kobaltu,kobaltom,kobalti,kobalata,kobaltima,kobalte,kobalti,kobaltima,kobaltima
količina,ženski,količine,količini,količinu,količino,količini,količinom,količine,količina,količinama,količine,količine,količinama,količinama
koljeno,srednji,koljena,koljenu,koljeno,koljeno,koljenu,koljenom,koljena,koljena,koljenima,koljena,koljena,koljenima,koljenima
kolo,muški,kola,kolu,kolo,kolo,kolu,kolom,kola,kola,kolima,kola,kola,kolima,kolima
kolodvor,muški,kolodvora,kolodvoru,kolodvor,kolodvore,kolodvoru,kolodvorom,kolodvori,kolodvora,kolodvorima,kolodvore,kolodvori,kolodvorima,kolodvorima
kod,muški,koda,kodu,kod,kod,kodu,kodom,kodovi,kodova,kodovima,kodovi/a,kodovi,kodovima,kodovima
lampa,ženski,lampe,lampi,lampu,lampao,lampi,lampom,lampe,lampi,lampama,lampi,lampe,lampama,lampama
kokoš,ženski,kokoši,kokoši,kokoš,kokoši,kokoši,kokoši,kokoši,kokošiju,kokošima,kokoši,kokoši,kokošima,kokošima
komad,muški,komada,komadu,komad,komade,komadu,komadom,komadi,komada,komadima,komade,komadi,komadima,komadima
kinit,muški,kinita,kinitu,kinit,kinite,kinitu,kinitom,kiniti,kinita,kinitima,kinite,kiniti,kinitima,kinitima
kompjuter,muški,kompjutera,kompjuteru,kompjuter,kompjutere,kompjuteru,kompjuterom,kompjutere,kompjutera,kompjuterima,kompjutere,kompjutere,kompjuterima,kompjuterima
konac,muški,konca,koncu,konac,konče,koncu,koncem,konci,konaca,koncima,konce,konci,koncima,koncima
komatiit,muški,komatiita,komatiitu,komatiit,komatiite,komatiitu,komatiitom,komatiiti,komatiita,komatiitima,komatiite,komatiiti,komatiitima,komatiitima
konj,muški,konja,konju,konja,konju,konju,konjem,konji,konja,konjima,konje,konji,konjima,konjima
koala,ženski,koale,koali,koalu,koalo,koali,koalom,koale,koala,koalama,koale,koale,koalama,koalama
koka,ženski,koke,koki,koku,koko,koki,kokom,koke,koka,kokama,koke,koke,kokama,kokama
kombinacija,ženski,kombinacije,kombinaciji,kombinaciju,kombinacijo,kombinaciji,kombinacijom,kombinacije,kombinacija,kombinacijama,kombinacije,kombinacije,kombinacijama,kombinacijama
komedija,ženski,komedije,komediji,komediju,komedijo,komediji,komedijom,komedije,komedija,komedijama,komedije,komedije,komedijama,komedijama
kolokvij,muški,kolokvija,kolokviju,kolokvij,kolokviju,kolokviju,kolokvijem,kolokviji,kolokvija,kolokvijima,kolokvije,kolokviji,kolokvijima,kolokvijima
kokot,muški,kokota,kokotu,kokot,kokote,kokotu,kokotom,kokoti,kokota,kokotima,kokote,kokoti,kokotima,kokotima
komunikacija,ženski,komunikacije,komunikaciji,komunikaciju,komunikacijo,komunikaciji,komunikacijom,komunikacije,komunikacija,komunikacijama,komunikacije,komunikacije,komunikacijama,komunikacijama
kolikoća,ženski,kolikoće,kolikoći,kolikoću,kolikoćo,kolikoći,kolikoćom,kolikoće,kolikoća,kolikoćama,kolikoće,kolikoće,kolikoćama,kolikoćama
korist,ženski,koristi,koristi,korist,koristi,koristi,korišću,koristi,koristi,koristima,koristi,koristi,koristima,koristima
kotač,muški,kotača,kotaču,kotač,kotaču,kotaču,kotačem,kotači,kotača,kotačima,kotače,kotači,kotačima,kotačima
koplje,srednji,koplja,koplju,koplje,koplje,koplju,kopljem,koplja,koplja,kopljima,koplja,koplja,kopljima,kopljima
kopno,srednji,kopna,kopnu,kopno,kopno,kopnu,kopnom,kopna,kopana,kopnima,kopna,kopna,kopnima,kopnima
korijen,muški,korijena,korijenu,korijen,korijene,korijenu,korijenom,korijeni,korijena,korijenima,korijene,korijeni,korijenima,korijenima
kovina,ženski,kovine,kovini,kovinu,kovino,kovini,kovinom,kovine,kovina,kovinama,kovine,kovine,kovinama,kovinama
košnica,ženski,košnice,košnici,košnicu,košnico,košnici,košnicom,košnice,košnica,košnicama,košnice,košnice,košnicama,košnicama
košulja,muški,košulje,košulji,košulju,košuljo,košulji,košuljom,košulje,košulja,košuljama,košulje,košulje,košuljama,košuljama
kratkoća,ženski,kratkoće,kratkoći,kratkoću,kratkoćo,kratkoći,kratkoćom,kratkoće,kratkoća,kratkoćama,kratkoće,kratkoće,kratkoćama,kratkoćama
kozmopolit,muški,kozmopolita,kozmopolitu,kozmopolita,kozmopolite,kozmopolitu,kozmopolitom,kozmopoliti,kozmopolita,kozmopolitima,kozmopolite,kozmopoliti,kozmopolitima,kozmopolitima
ljepota,ženski,ljepote,ljepoti,ljepotu,ljepoto,ljepoti,ljepotom,ljepote,ljepota,ljepotama,ljepote,ljepote,ljepotama,ljepotama
kontrabas,muški,kontrabasa,kontrabasu,kontrabas,kontrabas,kontrabasu,kontrabasom,kontrabasi,kontrabasa,kontrabasima,kontrabase,kontrabasi,kontrabasima,kontrabasima
kreativnost,ženski,kreativnosti,kreativnosti,kreativnost,kreativnosti,kreativnosti,kreativnošću,kreativnosti,kreativnosti,kreativnostima,kreativnosti,kreativnosti,kreativnostima,kreativnostima
kovač,muški,kovača,kovaču,kovača,kovaču,kovaču,kovačem,kovači,kovača,kovačima,kovače,kovači,kovačima,kovačima
kralj,muški,kralja,kralju,kralja,kralju,kralju,kraljem,kraljevi,kraljeva,kraljevima,kraljeve,kraljevi,kraljevima,kraljevima
kosa,ženski,kose,kosi,kosu,koso,kosi,kosom,kose,kosa,kosama,kose,kose,kosama,kosama
kraj,muški,kraja,kraju,kraj,kraju,kraju,krajem,krajevi,krajeva,krajevima,krajeve,krajevi,krajevima,krajevima
krevet,muški,kreveta,krevetu,krevet,krevete,krevetu,krevetom,kreveti,kreveta,krevetima,krevete,kreveti,krevetima,krevetima
kora,ženski,kore,kori,koru,koro,kori,korom,kore,kora,korama,kore,kore,korama,korama
kornjača,ženski,kornjače,kornjači,kornjaču,kornjačo,kornjači,kornjačom,kornjače,kornjača,kornjačama,kornjače,kornjače,kornjačama,kornjačama
kost,ženski,kosti,kosti,kost,kosti,kosti,kosti,kosti,kostiju,kostima,kosti,kosti,kostima,kostima
koza,ženski,koze,kozi,kozu,kozo,kozi,kozom,koze,koza,kozama,koze,koze,kozama,kozama
kraljica,ženski,kraljice,kraljici,kraljicu,kraljice,kraljici,kraljicom,kraljice,kraljica,kraljicama,kraljice,kraljice,kraljicama,kraljicama
kontemplacija,ženski,kontemplacije,kontemplaciji,kontemplaciju,kontemplacijo,kontemplaciji,kontemplacijom,kontemplacije,kontemplacija,kontemplacijama,kontemplacije,kontemplacije,kontemplacijama,kontemplacijama
kontrola,ženski,kontrole,kontroli,kontrolu,kontrolo,kontroli,kontrolom,kontrole,kontrola,kontrolama,kontrole,kontrole,kontrolama,kontrolama
koordinacija,ženski,koordinacije,koordinaciji,koordinaciju,koordinacijo,koordinaciji,koordinacijom,koordinacije,koordinacija,koordinacijama,koordinacije,koordinacije,koordinacijama,koordinacijama
koža,ženski,kože,koži,kožu,kožo,koži,kožom,kože,koža,kožama,kože,kože,kožama,kožama
kontaktolit,muški,kontaktolita,kontaktolitu,kontaktolit,kontaktolite,kontaktolitu,kontaktolitom,kontaktoliti,kontaktolita,kontaktolitima,kontaktolite,kontaktoliti,kontaktolitima,kontaktolitima
krilo,srednji,krila,krilu,krila,krilo,krilu,krilom,krila,krila,krilima,krila,krila,krilima,krilima
kurac,muški,kurca,kurcu,kurac,kurče,kurcu,kurcem,kurci,kuraca,kurcima,kurce,kurci,kurcima,kurcima
krma,ženski,krme,krmi,krmu,krmo,krmi,krmom,krme,krma,krmama,krme,krme,krmama,krmama
kugla,ženski,kugle,kugli,kuglu,kuglo,kugli,kuglom,kugle,kugli,kuglama,kugle,kugle,kuglama,kuglama
krtica,ženski,krtice,krtici,krticu,krtico,krtici,krticom,krtice,krtica,krticama,krtice,krtice,krticama,krticama
krumpir,muški,krumpira,krumpiru,krumpir,krumpire,krumpiru,krumpirom,krumpiri,krumpira,krumpirima,krumpire,krumpiri,krumpirima,krumpirima
kružnica,ženski,kružnice,kružnici,kružnicu,kružnico,kružnici,kružnicom,kružnice,kružnica,kružnicama,kružnice,kružnice,kružnicama,kružnicama
kuhar,muški,kuhara,kuharu,kuhara,kuhar,kuharu,kuharom,kuhari,kuhara,kuharima,kuhare,kuhari,kuharima,kuharima
kupina,ženski,kupine,kupini,kupinu,kupino,kupini,kupinom,kupine,kupina,kupinama,kupine,kupine,kupinama,kupinama
krivnja,ženski,krivnje,krivnji,krivnju,krivnjo,krivnji,krivnjom,krivnje,krivnji,krivnjama,krivnje,krivnje,krivnjama,krivnjama
kutija,ženski,kutije,kutiji,kutiju,kutijo,kutiji,kutijom,kutije,kutija,kutijama,kutije,kutije,kutijama,kutijama
labud,muški,labuda,labudu,labuda,labude,labudu,labudom,labudovi,labudova,labudovima,labudove,labudovi,labudovima,labudovima
kvar,muški,kvara,kvaru,kvar,kvare,kvaru,kvarom,kvarovi,kvarova,kvarovima,kvarove,kvarovi,kvarovima,kvarovima
kronometar,muški,kronometra,kronometru,kronometar,kronometre,kronometru,kronometrom,kronometri,kronometara,kronometrima,kronometre,kronometri,kronometrima,kronometrima
krov,muški,krova,krovu,krov,krove,krovu,krovom,krovovi,krovova,krovovima,krovove,krovovi,krovovima,krovovima
kći,ženski,kćeri,kćeri,kćer,kćeri,kćeri,kćeri,kćeri,kćeri,kćerima,kćeri,kćeri,kćerima,kćerima
kruška,ženski,kruške,krušci,krušku,kruško,krušci,kruškom,kruške,krušaka,kruškama,kruške,kruške,kruškama,kruškama
kut,muški,kuta,kutu,kut,kute,kutu,kutom,kutovi,kutova,kutovima,kutove,kutovi,kutovima,kutovima
kvadrat,muški,kvadrata,kvadratu,kvadrat,kvadrate,kvadratu,kvadratom,kvadrati,kvadrata,kvadratima,kvadrate,kvadrati,kvadratima,kvadratima
kvarcit,muški,kvarcita,kvarcitu,kvarcit,kvarcite,kvarcitu,kvarcitom,kvarciti,kvarcita,kvarcitima,kvarcite,kvarciti,kvarcitima,kvarcitima
kvarc,muški,kvarca,kvarcu,kvarc,kvarče,kvarcu,kvarcom,kvarčevi,kvarčeva,kvarčevima,kvarčeve,kvarčevi,kvarčevima,kvarčevima
labrador,muški,labradora,labradoru,labrador,labradore,labradoru,labradorom,labradori,labradora,labradorima,labradore,labradori,labradorima,labradorima
kupnja,ženski,kupnje,kupnji,kupnju,kupnjo,kupnji,kupnjom,kupnje,kupnji,kupnjama,kupnje,kupnje,kupnjama,kupnjama
krivulja,ženski,krivulje,krivulji,krivulju,krivuljo,krivulji,krivuljom,krivulje,krivulja,krivuljama,krivulje,krivulje,krivuljama,krivuljama
krpa,ženski,krpe,krpi,krpu,krpo,krpi,krpom,krpe,krpa,krpama,krpe,krpe,krpama,krpama
krug,muški,kruga,krugu,krug,kruže,krugu,krugom,krugovi,krugova,krugovima,krugove,krugovi,krugovima,krugovima
kuna,ženski,kune,kuni,kunu,kuno,kuni,kunom,kune,kuna,kunama,kune,kune,kunama,kunama
kura,ženski,kure,kuri,kuru,kuro,kuri,kurom,kure,kura,kurama,kure,kure,kurama,kurama
kvantiteta,ženski,kvantitete,kvantiteti,kvantitetu,kvantiteto,kvantiteti,kvantitetom,kvantitete,kvantiteta,kvantitetama,kvantitete,kvantitete,kvantitetama,kvantitetama
kopernicij,muški,kopernicija,koperniciju,kopernicij,koperniciju,koperniciju,kopernicijem,koperniciji,kopernicija,kopernicijima,kopernicije,koperniciji,kopernicijima,kopernicijima
kvarc-latit,muški,kvarc-latita,kvarc-latitu,kvarc-latit,kvarc-latite,kvarc-latitu,kvarc-latitom,kvarc-latiti,kvarc-latita,kvarc-latitima,kvarc-latite,kvarc-latiti,kvarc-latitima,kvarc-latitima
kvarc-diorit,muški,kvarc-diorita,kvarc-dioritu,kvarc-diorit,kvarc-diorite,kvarc-dioritu,kvarc-dioritom,kvarc-dioriti,kvarc-diorita,kvarc-dioritima,kvarc-diorite,kvarc-dioriti,kvarc-dioritima,kvarc-dioritima
kvarc-monzonit,muški,kvarc-monzonita,kvarc-monzonitu,kvarc-monzonit,kvarc-monzonite,kvarc-monzonitu,kvarc-monzonitom,kvarc-monzoniti,kvarc-monzonita,kvarc-monzonitima,kvarc-monzonite,kvarc-monzoniti,kvarc-monzonitima,kvarc-monzonitima
krom,muški,kroma,kromu,krom,krome,kromu,kromom,kromovi,kromova,kromovima,kromove,kromovi,kromovima,kromovima
limun,muški,limuna,limunu,limuna,limune,limunu,limunom,limuni,limuna,limunovima,limuna,limuni/limunovi,limunima,limunima
lazaret,muški,lazareta,lazaretu,lazaret,lazarete,lazaretu,lazaretom,lazareti,lazareta,lazaretima,lazarete,lazareti,lazaretima,lazaretima
legenda,ženski,legende,legendi,legendu,legendo,legendi,legendom,legende,legendi,legendama,legende,legende,legendama,legendama
leksem,muški,leksema,leksemu,leksem,lekseme,leksemu,leksemom,leksemi,leksema,leksemima,lekseme,leksemi,leksemima,leksemima
leksikologija,ženski,leksikologije,leksikologiji,leksikologiju,leksikologijo,leksikologiji,leksikologijom,leksikologije,leksikologija,leksikologijama,leksikologije,leksikologije,leksikologijama,leksikologijama
liječnica,ženski,liječnice,liječnici,liječnicu,liječnice,liječnici,liječnicom,liječnice,liječnica,liječnicama,liječnice,liječnice,liječnicama,liječnicama
limar,muški,limara,limaru,limara,limaru,limaru,limarom,limari,limara,limarima,limare,limari,limarima,limarima
leucit,muški,leucita,leucitu,leucit,leucite,leucitu,leucitom,leuciti,leucita,leucitima,leucite,leuciti,leucitima,leucitima
ličilac,muški,ličioca,ličiocu,ličioca,ličioče,ličiocu,ličiocem,ličioci,ličilaca,ličiocima,ličioce,ličioci,ličiocima,ličiocima
lice,srednji,lica,licu,lice,lice,licu,licem,lica,lica,licima,lica,lica,licima,licima
linija,ženski,linije,liniji,liniju,linijo,liniji,linijom,linije,linija,linijama,linije,linije,linijama,linijama
ličitelj,muški,ličitelja,ličitelju,ličitelja,ličitelju,ličitelju,ličiteljem,ličitelji,ličitelja,ličiteljima,ličitelje,ličitelji,ličiteljima,ličiteljima
litota,ženski,litote,litoti,litotu,litoto,litoti,litotom,litote,litota,litotama,litote,litote,litotama,litotama
lim,muški,lima,limu,lim,lime,limu,limom,limovi,limova,limovima,limove,limovi,limovima,limovima
magma,ženski,magme,magmi,magmu,magmo,magmi,magmom,magme,magmi,magmama,magme,magme,magmama,magmama
ljubav,ženski,ljubavi,ljubavi,ljubav,ljubavi,ljubavi,ljubavlju,ljubavi,ljubavi,ljubavima,ljubavi,ljubavi,ljubavima,ljubavima
ljubomora,ženski,ljubomore,ljubomori,ljubomoru,ljubomoro,ljubomori,ljubomorom,ljubomore,ljubomora,ljubomorama,ljubomore,ljubomore,ljubomorama,ljubomorama
lubanja,ženski,lubanje,lubanji,lubanju,lubanjo,lubanji,lubanjom,lubanje,lubanja,lubanjama,lubanje,lubanje,lubanjama,lubanjama
majica,ženski,majice,majici,majicu,majico,majici,majicom,majice,majica,majicama,majice,majice,majicama,majicama
majka,ženski,majke,majci,majku,majko,majci,majkom,majke,majki,majkama,majke,majke,majkama,majkama
majmunica,ženski,majmunice,majmunici,majmunicu,majmunice,majmunici,majmunicom,majmunice,majmunica,majmunicama,majmunice,majmunice,majmunicama,majmunicama
